Keyword,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity,Type
0,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
100%,Truth Hurts,Lizzo,escape room,158,62,72,-3,12,41,173,11,11,91,
2,LA CANCIÓN,J Balvin,latin,176,65,75,-6,11,43,243,15,32,90,
7,You Need To Calm Down,Taylor Swift,dance pop,85,68,77,-6,7,73,171,1,5,90,
10,LA CANCIÓN,J Balvin,latin,176,65,75,-6,11,43,243,15,32,90,
12,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,
17,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,
20,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,
44,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
80,Goodbyes Feat. Young Thug,Post Malone,dfw rap,150,65,58,-4,11,18,175,45,7,94,
89,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
911,Con Calma,Daddy Yankee,latin,94,86,74,-3,6,66,193,11,6,91,
2000,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
3D,No Guidance feat. Drake,Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,
6'1,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
6'1,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
6'1,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
9'2,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
9'2,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
9'2,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
9'2,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
9'2,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
9'2,The London feat. J. Cole & Travis Scott,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,
a,Señorita,Shawn Mendes,canadian pop,117,55,76,-6,8,75,191,4,3,79,stop
A,China,Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9,92,stop
a,China,Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9,92,stop
a,China,Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9,92,stop
a,China,Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9,92,stop
a,China,Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9,92,stop
a,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
a,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
a,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
a,boyfriend with Social House,Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,stop
a,Beautiful People feat. Khalid,Ed Sheeran,pop,93,65,64,-8,8,55,198,12,19,86,stop
a,Beautiful People feat. Khalid,Ed Sheeran,pop,93,65,64,-8,8,55,198,12,19,86,stop
a,Goodbyes Feat. Young Thug,Post Malone,dfw rap,150,65,58,-4,11,18,175,45,7,94,stop
a,Goodbyes Feat. Young Thug,Post Malone,dfw rap,150,65,58,-4,11,18,175,45,7,94,stop
a,I Don't Care with Justin Bieber,Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,stop
a,I Don't Care with Justin Bieber,Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,stop
a,I Don't Care with Justin Bieber,Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,stop
a,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,stop
a,Old Town Road - Remix,Lil Nas X,country rap,136,62,88,-6,11,64,157,5,10,87,stop
a,Old Town Road - Remix,Lil Nas X,country rap,136,62,88,-6,11,64,157,5,10,87,stop
