keyword,count
called,10
better,10
care,10
Forgetting,10
eyes,10
enough,10
hard,10
games,10
hair,10
left,10
piece,10
loved,10
please,10
mind,10
road,10
saw,10
shyness,10
watch,10
used,10
beautiful,11
broken,11
forgot,11
couple,11
fear,11
lie,11
Inside,11
looking,11
name,11
Pa',11
someone,11
Top,11
write,11
throw,11
times,11
already,12
far,12
ever,12
follow,12
fashionable,12
hit,12
happier,12
late,12
Live,12
running,12
Thinkin',12
face,13
hot,13
getting,13
guess,13
mean,13
people,13
Seen,13
real,13
us,13
turn,13
sucker,13
calling,14
party,14
plays,14
song,14
anything,15
alone,15
around,15
run,15
tryna,15
dark,16
drink,16
DJ,16
hold,16
night,16
place,16
single,16
day,17
fall,17
gonna,17
Stop,17
show,17
drunk,18
give,18
pain,18
means,18
play,18
money,18
making,18
somebody,18
Boyfriend,19
feel,19
kidnap,19
guy,19
music,19
Said,19
something,19
break,20
club,20
another,20
every,20
dances,20
everything,20
friends,20
Goodbye,20
still,20
Coming,21
leave,21
Girlfriend,21
lonely,21
gotta,21
change,22
done,22
find,22
knew,22
heart,22
nights,22
dance,23
put,23
through,23
Dancing,24
good,24
look,25
wrong,25
life,26
Try,26
off,27
two,27
thing,27
things,27
even,29
think,29
crazy,30
keep,30
height,30
nothing,30
way,31
talk,31
Thought,32
Call,33
take,33
back,34
Nobody,34
make,34
move,34
really,34
going,35
right,35
wants,35
tonight,36
Bring,38
girl,39
higher,39
touch,39
Cross,40
Bad,44
time,45
say,46
need,48
come,51
Tell,53
get,56
wanna,56
never,72
Baby,73
go,79
See,81
Now,90
Love,96
one,96
no,116
Got,146
want,156
know,163
Like,165
